Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
2012-01-01,01:00,N,HB_HOUSTON,18.44
2012-01-01,02:00,N,HB_HOUSTON,17.16
2012-01-01,03:00,N,HB_HOUSTON,18.2
2012-01-01,04:00,N,HB_HOUSTON,18.52
2012-01-01,05:00,N,HB_HOUSTON,18.85
2012-01-01,06:00,N,HB_HOUSTON,19.84
2012-01-01,07:00,N,HB_HOUSTON,21.39
2012-01-01,08:00,N,HB_HOUSTON,21.95
2012-01-01,09:00,N,HB_HOUSTON,22.65
2012-01-01,10:00,N,HB_HOUSTON,23.29
2012-01-01,11:00,N,HB_HOUSTON,22.15
2012-01-01,12:00,N,HB_HOUSTON,22.14
2012-01-01,13:00,N,HB_HOUSTON,21.99
2012-01-01,14:00,N,HB_HOUSTON,21.14
2012-01-01,15:00,N,HB_HOUSTON,20.99
2012-01-01,16:00,N,HB_HOUSTON,21.03
2012-01-01,17:00,N,HB_HOUSTON,21.43
2012-01-01,18:00,N,HB_HOUSTON,24.96
2012-01-01,19:00,N,HB_HOUSTON,31.44
2012-01-01,20:00,N,HB_HOUSTON,27.28
2012-01-01,21:00,N,HB_HOUSTON,25.95
2012-01-01,22:00,N,HB_HOUSTON,24.57
2012-01-01,23:00,N,HB_HOUSTON,23.02
2012-01-01,24:00,N,HB_HOUSTON,21.49
2012-01-02,01:00,N,HB_HOUSTON,21.14
2012-01-02,02:00,N,HB_HOUSTON,20.62
2012-01-02,03:00,N,HB_HOUSTON,20.22
2012-01-02,04:00,N,HB_HOUSTON,20.63
2012-01-02,05:00,N,HB_HOUSTON,21.01
2012-01-02,06:00,N,HB_HOUSTON,21.8
2012-01-02,07:00,N,HB_HOUSTON,24.59
2012-01-02,08:00,N,HB_HOUSTON,27.41
2012-01-02,09:00,N,HB_HOUSTON,27.82
2012-01-02,10:00,N,HB_HOUSTON,27.74
2012-01-02,11:00,N,HB_HOUSTON,24.22
2012-01-02,12:00,N,HB_HOUSTON,22.46
2012-01-02,13:00,N,HB_HOUSTON,21.52
2012-01-02,14:00,N,HB_HOUSTON,20.8
2012-01-02,15:00,N,HB_HOUSTON,20.48
2012-01-02,16:00,N,HB_HOUSTON,19.91
2012-01-02,17:00,N,HB_HOUSTON,20.78
2012-01-02,18:00,N,HB_HOUSTON,27.83
