Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point,Settlement Point Type,Settlement Point Price
01/01/2012,1,1,N,HB_BUSAVG,SH,12.58
01/01/2012,1,2,N,HB_BUSAVG,SH,8.83
01/01/2012,1,3,N,HB_BUSAVG,SH,13.44
01/01/2012,1,4,N,HB_BUSAVG,SH,12.95
01/01/2012,2,1,N,HB_BUSAVG,SH,13.22
01/01/2012,2,2,N,HB_BUSAVG,SH,10.3
01/01/2012,2,3,N,HB_BUSAVG,SH,1.42
01/01/2012,2,4,N,HB_BUSAVG,SH,5.45
01/01/2012,3,1,N,HB_BUSAVG,SH,3.94
01/01/2012,3,2,N,HB_BUSAVG,SH,2.47
01/01/2012,3,3,N,HB_BUSAVG,SH,4.77
01/01/2012,3,4,N,HB_BUSAVG,SH,6.76
01/01/2012,4,1,N,HB_BUSAVG,SH,13.73
01/01/2012,4,2,N,HB_BUSAVG,SH,15.13
01/01/2012,4,3,N,HB_BUSAVG,SH,15.29
01/01/2012,4,4,N,HB_BUSAVG,SH,15.37
01/01/2012,5,1,N,HB_BUSAVG,SH,15.21
01/01/2012,5,2,N,HB_BUSAVG,SH,15.64
01/01/2012,5,3,N,HB_BUSAVG,SH,15.45
01/01/2012,5,4,N,HB_BUSAVG,SH,15.67
01/01/2012,6,1,N,HB_BUSAVG,SH,16.54
01/01/2012,6,2,N,HB_BUSAVG,SH,16.54
01/01/2012,6,3,N,HB_BUSAVG,SH,16.49
01/01/2012,6,4,N,HB_BUSAVG,SH,16.6
01/01/2012,7,1,N,HB_BUSAVG,SH,16.83
01/01/2012,7,2,N,HB_BUSAVG,SH,17.0
01/01/2012,7,3,N,HB_BUSAVG,SH,17.47
01/01/2012,7,4,N,HB_BUSAVG,SH,17.99
01/01/2012,8,1,N,HB_BUSAVG,SH,18.57
01/01/2012,8,2,N,HB_BUSAVG,SH,18.76
01/01/2012,8,3,N,HB_BUSAVG,SH,19.02
01/01/2012,8,4,N,HB_BUSAVG,SH,18.99
01/01/2012,9,1,N,HB_BUSAVG,SH,19.01
01/01/2012,9,2,N,HB_BUSAVG,SH,19.29
01/01/2012,9,3,N,HB_BUSAVG,SH,19.85
01/01/2012,9,4,N,HB_BUSAVG,SH,20.54
01/01/2012,10,1,N,HB_BUSAVG,SH,21.25
01/01/2012,10,2,N,HB_BUSAVG,SH,21.68
01/01/2012,10,3,N,HB_BUSAVG,SH,22.23
01/01/2012,10,4,N,HB_BUSAVG,SH,22.46
01/01/2012,11,1,N,HB_BUSAVG,SH,22.48
01/01/2012,11,2,N,HB_BUSAVG,SH,22.3
01/01/2012,11,3,N,HB_BUSAVG,SH,22.13
01/01/2012,11,4,N,HB_BUSAVG,SH,22.3
01/01/2012,12,1,N,HB_BUSAVG,SH,22.77
01/01/2012,12,2,N,HB_BUSAVG,SH,23.43
01/01/2012,12,3,N,HB_BUSAVG,SH,23.46
01/01/2012,12,4,N,HB_BUSAVG,SH,23.21
01/01/2012,13,1,N,HB_BUSAVG,SH,23.15
01/01/2012,13,2,N,HB_BUSAVG,SH,23.27
01/01/2012,13,3,N,HB_BUSAVG,SH,23.24
01/01/2012,13,4,N,HB_BUSAVG,SH,23.34
01/01/2012,14,1,N,HB_BUSAVG,SH,23.02
01/01/2012,14,2,N,HB_BUSAVG,SH,22.88
01/01/2012,14,3,N,HB_BUSAVG,SH,22.81
01/01/2012,14,4,N,HB_BUSAVG,SH,22.53
01/01/2012,15,1,N,HB_BUSAVG,SH,22.25
01/01/2012,15,2,N,HB_BUSAVG,SH,22.08
01/01/2012,15,3,N,HB_BUSAVG,SH,21.78
01/01/2012,15,4,N,HB_BUSAVG,SH,21.4
01/01/2012,16,1,N,HB_BUSAVG,SH,21.06
01/01/2012,16,2,N,HB_BUSAVG,SH,21.11
01/01/2012,16,3,N,HB_BUSAVG,SH,21.06
01/01/2012,16,4,N,HB_BUSAVG,SH,20.86
01/01/2012,17,1,N,HB_BUSAVG,SH,20.53
01/01/2012,17,2,N,HB_BUSAVG,SH,20.4
01/01/2012,17,3,N,HB_BUSAVG,SH,20.17
01/01/2012,17,4,N,HB_BUSAVG,SH,20.34
01/01/2012,18,1,N,HB_BUSAVG,SH,20.75
01/01/2012,18,2,N,HB_BUSAVG,SH,21.72
01/01/2012,18,3,N,HB_BUSAVG,SH,24.75
